Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,4908.51,13605.02
heft_test,stencil_1d,196.29,18890.49,4195.5,14694.99
heft_test,stencil_1d_periodic,193.9,18748.64,4164.6,14584.04
heft_test,dom,59.41,3944.51,876.56,3067.95
heft_test,tree,192.76,16858.23,4599.85,12258.37
heft_test,fft,192.97,18694.83,4213.52,14481.31
heft_test,nearest,196.1,18881.98,4196.54,14685.44
heft_test,no_comm,194.41,18843.11,4204.92,14638.18
heft_test,spread -period 2,195.73,18878.05,4153.54,14724.51
heft_test,random_nearest,193.55,18564.77,4286.46,14278.3
moheft_energy,trivial,177.3,28574.38,5610.47,22963.91,364.89,10193.51,7310.75,2882.76,374.72,10130.54,7238.24,2892.3
moheft_energy,stencil_1d,196.52,31443.22,5018.32,26424.91,351.44,9996.41,6152.87,3843.54,351.45,9979.27,6141.14,3838.14
moheft_energy,stencil_1d_periodic,193.91,32259.42,5135.07,27124.35,194.0,31795.73,5124.81,26670.93,352.53,10034.46,6155.1,3879.37
moheft_energy,dom,62.33,5080.68,1000.08,4080.61,108.57,1736.67,1222.46,514.22,108.58,1736.4,1253.25,483.15
moheft_energy,tree,193.96,31081.65,5342.66,25738.99,356.97,10683.78,6280.74,4403.05,360.92,10683.53,6280.48,4403.05
moheft_energy,fft,194.13,32812.3,5163.15,27649.15,194.96,32242.67,5274.76,26967.91,349.4,9916.71,6214.42,3702.29
moheft_energy,nearest,196.52,31443.22,5018.32,26424.91,351.44,9996.41,6152.87,3843.54,351.45,9979.27,6141.14,3838.14
moheft_energy,no_comm,195.39,33776.19,4874.62,28901.57,195.59,33694.76,4892.96,28801.8,353.61,10004.34,6333.24,3671.1
moheft_energy,spread -period 2,195.77,34837.46,4825.65,30011.81,196.6,33614.27,5061.02,28553.25,355.98,9742.02,6234.3,3507.72
moheft_energy,random_nearest,194.03,31846.93,5288.81,26558.13,194.94,31713.04,5300.87,26412.17,354.34,10216.9,6151.72,4065.18
moheft_green_energy,trivial,176.24,31022.18,6075.68,24946.5,188.92,29364.97,6799.95,22565.01,889.31,11070.22,10117.69,952.52
moheft_green_energy,stencil_1d,196.68,31418.14,5086.35,26331.79,267.57,30734.61,9228.59,21506.02,493.76,12339.28,12324.26,15.02
moheft_green_energy,stencil_1d_periodic,196.03,32498.04,4868.64,27629.41,262.6,30768.19,9251.13,21517.06,266.18,31011.25,9494.23,21517.03
moheft_green_energy,dom,61.71,4933.33,987.35,3945.99,120.26,2270.58,2250.73,19.85,122.11,2253.94,2253.94,0.0
moheft_green_energy,tree,193.71,31608.11,5180.51,26427.6,247.74,30190.28,8189.34,22000.94,717.59,14525.31,14406.81,118.5
moheft_green_energy,fft,192.69,32822.39,4991.82,27830.57,283.96,31935.86,10388.99,21546.87,510.91,12555.7,12547.05,8.65
moheft_green_energy,nearest,195.72,32320.09,4961.55,27358.55,266.59,30858.29,9303.52,21554.77,509.57,12917.85,12890.17,27.69
moheft_green_energy,no_comm,194.26,36984.9,4655.07,32329.83,330.2,34338.3,12832.11,21506.19,576.91,13067.61,13060.97,6.64
moheft_green_energy,spread -period 2,195.62,35167.08,4747.5,30419.58,293.11,32242.34,10617.95,21624.39,526.79,12638.76,12631.11,7.65
moheft_green_energy,random_nearest,191.71,33521.17,4914.09,28607.08,275.84,31613.44,9953.17,21660.27,472.89,12793.39,12680.32,113.07
