Task Id,Mean duration (seconds)
1,178.61229948300002
2,176.384215757
3,174.521060962
4,172.294079975
5,174.521060962
6,173.587578544
7,172.557743053
8,172.557743053
9,172.778993329
10,172.411953979
11,174.521060962
12,172.411953979
13,172.778993329
14,176.384215757
15,178.61229948300002
16,172.778993329
17,173.587578544
18,174.521060962
19,177.06395936700002
20,176.384215757
21,178.61229948300002
22,176.384215757
23,173.587578544
24,173.587578544
25,172.222037223
26,172.294079975
27,172.294079975
28,172.557743053
29,172.411953979
30,177.06395936700002
31,178.61229948300002
32,176.384215757
33,177.06395936700002
34,172.778993329
35,172.557743053
36,174.521060962
37,177.06395936700002
38,178.61229948300002
39,176.384215757
40,178.61229948300002
41,176.384215757
42,172.294079975
43,177.06395936700002
44,172.557743053
45,172.294079975
46,172.222037223
47,172.222037223
48,173.587578544
49,176.384215757
50,173.587578544
51,176.384215757
52,172.411953979
53,172.778993329
54,173.587578544
55,172.411953979
56,172.411953979
57,172.222037223
58,172.778993329
59,172.294079975
60,172.778993329
61,173.587578544
62,177.06395936700002
63,173.587578544
64,178.61229948300002
65,172.778993329
66,176.384215757
67,174.521060962
68,177.06395936700002
69,172.778993329
70,172.778993329
71,177.06395936700002
72,172.778993329
73,173.587578544
74,172.411953979
75,174.521060962
76,172.557743053
77,172.411953979
78,172.557743053
79,172.557743053
80,172.557743053
81,174.521060962
82,172.411953979
83,176.384215757
84,172.294079975
85,173.587578544
86,172.557743053
87,172.294079975
88,173.587578544
89,178.61229948300002
90,172.411953979
91,172.557743053
92,172.294079975
93,178.61229948300002
94,172.294079975
95,172.411953979
96,172.557743053
97,172.222037223
98,172.411953979
99,178.61229948300002
100,172.294079975
101,177.06395936700002
102,174.521060962
103,177.06395936700002
104,173.587578544
105,177.06395936700002
106,172.557743053
107,172.778993329
108,172.778993329
109,173.587578544
110,172.411953979
111,172.294079975
112,172.557743053
113,174.521060962
114,178.61229948300002
115,172.294079975
116,172.778993329
117,172.222037223
118,173.587578544
119,177.06395936700002
120,178.61229948300002
121,173.587578544
122,172.411953979
123,172.778993329
124,177.06395936700002
125,177.06395936700002
126,172.222037223
127,172.778993329
128,172.222037223
129,177.06395936700002
130,173.587578544
131,174.521060962
132,176.384215757
133,172.557743053
134,172.294079975
135,174.521060962
136,172.411953979
137,172.294079975
138,172.778993329
139,172.294079975
140,172.411953979
141,172.557743053
142,172.294079975
143,176.384215757
144,172.222037223
145,178.61229948300002
146,178.61229948300002
147,172.778993329
148,172.294079975
149,177.06395936700002
150,176.384215757
151,172.778993329
152,177.06395936700002
153,173.587578544
154,176.384215757
155,177.06395936700002
156,177.06395936700002
157,172.778993329
158,172.778993329
159,172.411953979
160,174.521060962
161,172.411953979
162,172.222037223
163,172.778993329
164,178.61229948300002
165,176.384215757
166,172.222037223
167,173.587578544
168,172.411953979
169,172.778993329
170,178.61229948300002
171,176.384215757
172,172.222037223
173,178.61229948300002
174,178.61229948300002
175,172.557743053
176,172.557743053
177,172.778993329
178,172.411953979
179,174.521060962
180,172.294079975
181,172.411953979
182,172.411953979
183,172.411953979
184,178.61229948300002
185,172.411953979
186,172.294079975
187,172.294079975
188,177.06395936700002
189,178.61229948300002
190,172.294079975
191,174.521060962
192,174.521060962
193,172.557743053
194,172.222037223
195,173.587578544
196,176.384215757
197,172.557743053
198,172.222037223
199,172.411953979
200,172.411953979
